fold,train_period_start,train_period_end,test_period,train_start_date,train_end_date,test_start_date,test_end_date,train_rows,test_rows,n_factors,warm_start_used,agent_cumulative_return,agent_annual_return,agent_sharpe,agent_max_drawdown,agent_calmar,equal_cumulative_return,equal_annual_return,equal_sharpe,equal_max_drawdown,equal_calmar,ewbh_cumulative_return,ewbh_annual_return,ewbh_sharpe,ewbh_max_drawdown,ewbh_calmar,train_seconds,test_seconds
1,1,5,6,2010-03-03,2017-09-06,2017-09-07,2019-03-08,1858,371,13,False,0.06339967524484202,0.059263756653823,0.34230853937855077,-0.1934147306698892,0.3064076683743984,0.2353727465851363,0.16759281008450383,0.9547596275601458,-0.1728812137760702,0.9694101887876821,0.22804384980726944,0.1636699581915762,0.9217489176379035,-0.16501341695504676,0.991858487702024,102.67632169999979,0.12555870000051073
2,1,6,7,2010-03-03,2019-03-08,2019-03-11,2020-09-09,2229,371,13,True,0.2555853791232736,0.22007122471120813,0.6630229671293031,-0.3890854153518412,0.5656116010213404,0.17663894992721074,0.17262186408846536,0.5224304437749642,-0.4092101669665062,0.42184158171855596,0.16943644124676127,0.16201575920252043,0.5209071735155055,-0.39339513129146136,0.4118397669809621,118.17768710000018,0.1015717999998742
3,1,7,8,2010-03-03,2020-09-09,2020-09-10,2022-03-08,2600,371,13,True,0.6043768167033754,0.3626245337000609,1.7274742182742575,-0.20656705744392728,1.7554809473843405,0.6696778422910725,0.38868213031555554,1.9757056544376772,-0.16654775936263863,2.333757786973554,0.749883936586242,0.42680338093139353,1.9628685945502793,-0.16341227132630398,2.611819647737142,138.52242789999946,0.2524026999999478
4,1,8,9,2010-03-03,2022-03-08,2022-03-09,2023-09-05,2971,371,13,True,0.23594703775893122,0.16642964794903642,0.9990432844221138,-0.1612320927465327,1.0322364804299515,0.21039959730615232,0.1513426225113742,0.9098296456165604,-0.17390852846932126,0.8702426720727049,0.17092385902343343,0.1275237569547049,0.7649764482359155,-0.17341434402418884,0.735370292880254,173.83455380000032,0.09109189999981027
5,1,9,10,2010-03-03,2023-09-05,2023-09-06,2025-03-03,3342,371,13,True,0.24644334688903213,0.17157205248855908,1.0663325544807214,-0.16083826092927847,1.0667365557005142,0.24043793600622188,0.16788087979254868,1.051889475542387,-0.16966227809185394,0.9895003278316183,0.2629904195430144,0.18259883606293476,1.0736072577460118,-0.20008570178844923,0.9126031217162967,174.5466077000001,0.09448109999993903
